Date/Time CET/CEST;Date/Time UTC;MBA;Consumption Total [MWh];Metered [MWh];Profiled [MWh];Flex-settled [MWh]
07.01.2024/21:00;07.01.2024/20:00;SE1, SE2, SE3, SE4;-22045,266484;-13575,511737;-8469,754747;0
07.01.2024/22:00;07.01.2024/21:00;SE1, SE2, SE3, SE4;-21478,767686;-13324,579692;-8154,187994;0
07.01.2024/23:00;07.01.2024/22:00;SE1, SE2, SE3, SE4;-20888,027341;-13080,046179;-7807,981162;0
08.01.2024/00:00;07.01.2024/23:00;SE1, SE2, SE3, SE4;-20500,228554;-12913,278391;-7586,950163;0
08.01.2024/01:00;08.01.2024/00:00;SE1, SE2, SE3, SE4;-20276,63904;-12808,870437;-7467,768603;0
08.01.2024/02:00;08.01.2024/01:00;SE1, SE2, SE3, SE4;-20226,196375;-12802,894221;-7423,302154;0
08.01.2024/03:00;08.01.2024/02:00;SE1, SE2, SE3, SE4;-20268,681862;-12815,237492;-7453,44437;0
08.01.2024/04:00;08.01.2024/03:00;SE1, SE2, SE3, SE4;-20403,225932;-12875,811957;-7527,413975;0
08.01.2024/05:00;08.01.2024/04:00;SE1, SE2, SE3, SE4;-20997,274784;-13310,420267;-7686,854517;0
08.01.2024/06:00;08.01.2024/05:00;SE1, SE2, SE3, SE4;-22491,92677;-14509,04515;-7982,88162;0
08.01.2024/07:00;08.01.2024/06:00;SE1, SE2, SE3, SE4;-23717,147949;-15505,77782;-8211,370129;0
08.01.2024/08:00;08.01.2024/07:00;SE1, SE2, SE3, SE4;-24237,264321;-15930,029774;-8307,234547;0
08.01.2024/09:00;08.01.2024/08:00;SE1, SE2, SE3, SE4;-24158,928418;-15905,50887;-8253,419548;0
08.01.2024/10:00;08.01.2024/09:00;SE1, SE2, SE3, SE4;-24135,339519;-15953,362299;-8181,97722;0
08.01.2024/11:00;08.01.2024/10:00;SE1, SE2, SE3, SE4;-23755,358604;-15737,27031;-8018,088294;0
08.01.2024/12:00;08.01.2024/11:00;SE1, SE2, SE3, SE4;-23450,064586;-15597,908772;-7852,155814;0
08.01.2024/13:00;08.01.2024/12:00;SE1, SE2, SE3, SE4;-23260,32066;-15588,12702;-7672,19364;0
08.01.2024/14:00;08.01.2024/13:00;SE1, SE2, SE3, SE4;-23119,818965;-15496,081953;-7623,737012;0
08.01.2024/15:00;08.01.2024/14:00;SE1, SE2, SE3, SE4;-23326,400583;-15505,487835;-7820,912748;0
08.01.2024/16:00;08.01.2024/15:00;SE1, SE2, SE3, SE4;-23555,938719;-15306,802667;-8249,136052;0
08.01.2024/17:00;08.01.2024/16:00;SE1, SE2, SE3, SE4;-23719,837867;-15145,017815;-8574,820052;0
08.01.2024/18:00;08.01.2024/17:00;SE1, SE2, SE3, SE4;-23415,808138;-14897,470359;-8518,337779;0
08.01.2024/19:00;08.01.2024/18:00;SE1, SE2, SE3, SE4;-22933,559473;-14645,49717;-8288,062303;0
08.01.2024/20:00;08.01.2024/19:00;SE1, SE2, SE3, SE4;-22338,466596;-14328,015153;-8010,451443;0
08.01.2024/21:00;08.01.2024/20:00;SE1, SE2, SE3, SE4;-21583,67577;-13914,850353;-7668,825417;0
08.01.2024/22:00;08.01.2024/21:00;SE1, SE2, SE3, SE4;-20728,39558;-13457,145108;-7271,250472;0
08.01.2024/23:00;08.01.2024/22:00;SE1, SE2, SE3, SE4;-19962,553238;-13100,732135;-6861,821103;0
09.01.2024/00:00;08.01.2024/23:00;SE1, SE2, SE3, SE4;-19478,700266;-12856,801933;-6621,898333;0
09.01.2024/01:00;09.01.2024/00:00;SE1, SE2, SE3, SE4;-19118,081494;-12677,782797;-6440,298697;0
09.01.2024/02:00;09.01.2024/01:00;SE1, SE2, SE3, SE4;-18869,004799;-12547,670102;-6321,334697;0
09.01.2024/03:00;09.01.2024/02:00;SE1, SE2, SE3, SE4;-18754,184083;-12503,790591;-6250,393492;0
09.01.2024/04:00;09.01.2024/03:00;SE1, SE2, SE3, SE4;-18742,703211;-12505,32462;-6237,378591;0
09.01.2024/05:00;09.01.2024/04:00;SE1, SE2, SE3, SE4;-19141,70293;-12796,055398;-6345,647532;0
09.01.2024/06:00;09.01.2024/05:00;SE1, SE2, SE3, SE4;-20480,793904;-13860,587861;-6620,206043;0
09.01.2024/07:00;09.01.2024/06:00;SE1, SE2, SE3, SE4;-21601,808932;-14779,492188;-6822,316744;0
09.01.2024/08:00;09.01.2024/07:00;SE1, SE2, SE3, SE4;-21912,915338;-15089,310605;-6823,604733;0
09.01.2024/09:00;09.01.2024/08:00;SE1, SE2, SE3, SE4;-21816,513179;-15090,340539;-6726,17264;0
09.01.2024/10:00;09.01.2024/09:00;SE1, SE2, SE3, SE4;-21732,412931;-15074,856007;-6657,556924;0
09.01.2024/11:00;09.01.2024/10:00;SE1, SE2, SE3, SE4;-21560,33882;-15011,285232;-6549,053588;0
09.01.2024/12:00;09.01.2024/11:00;SE1, SE2, SE3, SE4;-21214,965155;-14752,858557;-6462,106598;0
09.01.2024/13:00;09.01.2024/12:00;SE1, SE2, SE3, SE4;-21029,433466;-14685,496083;-6343,937383;0
09.01.2024/14:00;09.01.2024/13:00;SE1, SE2, SE3, SE4;-21097,425297;-14751,347492;-6346,077805;0
09.01.2024/15:00;09.01.2024/14:00;SE1, SE2, SE3, SE4;-21305,764975;-14753,528325;-6552,23665;0
09.01.2024/16:00;09.01.2024/15:00;SE1, SE2, SE3, SE4;-21550,195067;-14531,970358;-7018,224709;0
09.01.2024/17:00;09.01.2024/16:00;SE1, SE2, SE3, SE4;-21596,045515;-14248,125259;-7347,920256;0
09.01.2024/18:00;09.01.2024/17:00;SE1, SE2, SE3, SE4;-21289,147607;-13981,093089;-7308,054518;0
09.01.2024/19:00;09.01.2024/18:00;SE1, SE2, SE3, SE4;-20773,143123;-13656,518907;-7116,624216;0
09.01.2024/20:00;09.01.2024/19:00;SE1, SE2, SE3, SE4;-20202,652787;-13367,003853;-6835,648934;0
09.01.2024/21:00;09.01.2024/20:00;SE1, SE2, SE3, SE4;-19504,558845;-13000,094217;-6504,464628;0
09.01.2024/22:00;09.01.2024/21:00;SE1, SE2, SE3, SE4;-18851,679129;-12711,175906;-6140,503223;0
09.01.2024/23:00;09.01.2024/22:00;SE1, SE2, SE3, SE4;-18198,409229;-12434,253348;-5764,155881;0
10.01.2024/00:00;09.01.2024/23:00;SE1, SE2, SE3, SE4;-17816,287655;-12265,32437;-5550,963285;0
