Date/Time CET/CEST;Date/Time UTC;MBA;Production Total [MWh];Hydro [MWh];Nuclear [MWh];Solar [MWh];Thermal [MWh];Wind Onshore [MWh];Wind Offshore [MWh];Energy Storage [MWh];Other [MWh]
06.01.2024/16:00;06.01.2024/15:00;SE1, SE2, SE3, SE4;21071,00902;12666,907605;6303,19;1,343703;1217,581748;876,536439;0;0;5,449525
06.01.2024/17:00;06.01.2024/16:00;SE1, SE2, SE3, SE4;21124,249782;12677,5284;6278,06;1,351893;1223,636455;931,128221;0;0;12,544813
06.01.2024/18:00;06.01.2024/17:00;SE1, SE2, SE3, SE4;21179,812404;12676,611932;6264,23;1,207555;1213,010554;1016,738619;0;0;8,013744
06.01.2024/19:00;06.01.2024/18:00;SE1, SE2, SE3, SE4;21215,329605;12571,793623;6292,94;1,184196;1210,125492;1132,539464;0;0;6,74683
06.01.2024/20:00;06.01.2024/19:00;SE1, SE2, SE3, SE4;20958,512203;12153,243017;6311,37;1,244825;1167,108116;1319,689432;0;0;5,856813
06.01.2024/21:00;06.01.2024/20:00;SE1, SE2, SE3, SE4;20629,451824;11666,317678;6313,93;1,47627;1101,772519;1540,886185;0;0;5,069172
06.01.2024/22:00;06.01.2024/21:00;SE1, SE2, SE3, SE4;20424,029662;11208,61165;6315,83;1,189606;1053,610279;1841,360633;0;0;3,427494
06.01.2024/23:00;06.01.2024/22:00;SE1, SE2, SE3, SE4;20043,860284;10739,244366;6315,31;1,338474;1058,488272;1924,568505;0;0;4,910667
07.01.2024/00:00;06.01.2024/23:00;SE1, SE2, SE3, SE4;20123,216477;10915,017535;6315,29;1,612709;1049,106335;1835,704562;0;0;6,485336
07.01.2024/01:00;07.01.2024/00:00;SE1, SE2, SE3, SE4;20063,111779;10743,523034;6315,48;0,973288;1050,489424;1947,347953;0;0;5,29808
07.01.2024/02:00;07.01.2024/01:00;SE1, SE2, SE3, SE4;19944,193755;10569,265104;6316,62;1,210585;1051,683686;2000,285354;0;0;5,129026
07.01.2024/03:00;07.01.2024/02:00;SE1, SE2, SE3, SE4;19984,957944;10508,580198;6317,21;1,144185;1071,211394;2081,984575;0;0;4,827592
07.01.2024/04:00;07.01.2024/03:00;SE1, SE2, SE3, SE4;19969,404558;10518,90012;6316,23;1,152298;1074,490566;2055,117409;0;0;3,514165
07.01.2024/05:00;07.01.2024/04:00;SE1, SE2, SE3, SE4;20057,882072;10607,26616;6315,85;1,007162;1086,127595;2043,763;0;0;3,868155
