Date/Time SNT;MBA;Load Profile [MWh]
17.01.2024/16:00;SE1, SE2, SE3, SE4;-7369,078
17.01.2024/17:00;SE1, SE2, SE3, SE4;-7710,423
17.01.2024/18:00;SE1, SE2, SE3, SE4;-7664,821
17.01.2024/19:00;SE1, SE2, SE3, SE4;-7468,156
17.01.2024/20:00;SE1, SE2, SE3, SE4;-7198,922
17.01.2024/21:00;SE1, SE2, SE3, SE4;-6882,085
17.01.2024/22:00;SE1, SE2, SE3, SE4;-6540,188
17.01.2024/23:00;SE1, SE2, SE3, SE4;-6204,075
18.01.2024/00:00;SE1, SE2, SE3, SE4;-6032,701
18.01.2024/01:00;SE1, SE2, SE3, SE4;-5938,729
18.01.2024/02:00;SE1, SE2, SE3, SE4;-5942,373
18.01.2024/03:00;SE1, SE2, SE3, SE4;-6014,705
18.01.2024/04:00;SE1, SE2, SE3, SE4;-6155,299
18.01.2024/05:00;SE1, SE2, SE3, SE4;-6402,3
18.01.2024/06:00;SE1, SE2, SE3, SE4;-6789,733
18.01.2024/07:00;SE1, SE2, SE3, SE4;-7139,978
18.01.2024/08:00;SE1, SE2, SE3, SE4;-7196,595
18.01.2024/09:00;SE1, SE2, SE3, SE4;-7182,299
18.01.2024/10:00;SE1, SE2, SE3, SE4;-7094,171
18.01.2024/11:00;SE1, SE2, SE3, SE4;-6955,225
